City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind Speed
Aragarcas,48,BR,1554264917,68,-52.25,-15.9,79.76,3.47
Saint-Pierre,0,FR,1554264724,93,4.24,48.95,42.8,11.41
Batken,92,KG,1554264918,78,70.82,40.06,54.29,3.02
Gravdal,36,NO,1554264915,42,5.78,59.79,46.99,20.8
Imeni Poliny Osipenko,68,RU,1554264726,72,136.49,52.42,35.03,5.82
Guerrero Negro,20,MX,1554264807,80,-114.04,27.97,59.33,7.72
Chusovoy,32,RU,1554264918,84,57.82,58.28,21.8,7.61
Barcelos,0,PT,1554264813,87,-8.62,41.53,50.0,8.05
Orlik,80,RU,1554264919,69,99.83,52.51,29.63,8.84
Aldan,88,RU,1554264919,77,125.39,58.61,29.27,3.47
Faya,0,SA,1554260400,67,42.45,18.39,59.0,9.17
Vila Velha,40,BR,1554264489,74,-38.6,-3.71,82.4,4.7
Christchurch,0,NZ,1554264785,44,172.64,-43.53,60.8,9.17
Biak,64,ID,1554264920,95,122.88,-0.91,80.39,3.47
Zhaozhou,12,CN,1554264920,37,125.27,45.71,51.68,17.45
Gilleleje,76,DK,1554264913,81,12.31,56.12,45.0,12.75
La Ronge,20,CA,1554260400,52,-105.3,55.1,15.8,8.05
Verkhoyansk,80,RU,1554264921,68,133.39,67.55,22.43,3.69
Juruti,12,BR,1554264921,79,-56.09,-2.16,79.13,2.91
Weiser,90,US,1554264906,87,-116.97,44.25,50.0,3.36
Leningradskiy,20,RU,1554264922,94,178.42,69.38,21.98,21.47
Northam,48,GB,1554264912,87,-4.21,51.04,41.0,3.0
Maceio,40,BR,1554260400,94,-35.74,-9.67,75.2,3.36
Udachnyy,80,RU,1554264922,74,112.4,66.42,31.16,5.37
Te Anau,0,NZ,1554264922,49,167.72,-45.41,59.6,3.58
Sibolga,20,ID,1554264923,88,98.78,1.74,77.96,2.35
Dalianwan,0,CN,1554264509,16,121.69,39.03,57.2,15.66
Mitsamiouli,40,KM,1554260400,83,43.28,-11.38,78.8,5.82
Bubaque,0,GW,1554264923,94,-15.83,11.28,80.84,16.33
Kholodnyy,24,RU,1554264727,82,147.95,62.72,21.98,3.69
Pak Phanang,40,TH,1554260400,84,100.2,8.35,86.0,5.82
San Cristobal,75,EC,1554264908,81,-78.55,-0.39,59.0,2.24
Khor,0,RU,1554264924,74,134.96,47.88,40.7,3.47
Zhigansk,88,RU,1554264724,84,123.37,66.77,31.88,8.28
Zima,92,RU,1554264925,75,102.05,53.93,37.19,14.32
Visby,0,SE,1554264070,64,18.3,57.64,42.01,13.87
Simao,88,CN,1554264925,89,100.79,22.76,63.47,2.24
Noumea,0,NC,1554262200,55,166.46,-22.28,86.0,6.93
San Francisco,75,US,1554264718,82,-122.42,37.78,55.99,4.7
Broome,80,GB,1554264923,93,1.45,52.47,36.0,3.36
Manggar,0,ID,1554264927,95,108.27,-2.88,85.52,4.14
Shubarshi,92,KZ,1554264927,96,57.19,48.59,44.93,18.68
Benjamin Hill,0,MX,1554264917,29,-111.1,30.17,66.99,1.01
Liling,90,CN,1554264000,100,113.49,27.65,55.4,2.24
Ca Mau,12,VN,1554264793,69,105.15,9.18,88.76,9.17
Misratah,80,LY,1554264928,100,15.09,32.38,55.91,3.8
Qandala,0,SO,1554264928,86,49.87,11.47,66.53,1.57
Yantikovo,0,RU,1554262200,54,47.78,55.52,30.2,8.95
Coquimbo,0,CL,1554260400,87,-71.34,-29.95,57.2,4.7
Vardo,40,US,1554264928,80,-77.74,39.62,41.0,3.36
Iqaluit,75,CA,1554264726,77,-68.52,63.75,3.0,10.29
Cattolica,0,IT,1554264927,81,12.74,43.96,59.0,4.7
Port Augusta,0,AU,1554264497,21,137.76,-32.49,86.0,11.41
Kirakira,32,SB,1554264930,100,161.92,-10.46,82.73,8.39
Portland,90,US,1554264721,93,-122.67,45.52,57.2,4.7
Westport,92,IE,1554264605,85,-9.52,53.8,41.0,8.99
Lazne Belohrad,0,CZ,1554264823,74,15.58,50.43,53.01,9.17
Sola,0,FI,1554264726,73,29.36,62.78,28.99,4.7
Shelburne,75,CA,1554264662,55,-80.2,44.08,41.0,6.93
Trairi,80,BR,1554264931,100,-39.27,-3.28,80.57,9.51
Bachaquero,0,VE,1554264931,84,-71.12,9.96,82.28,7.83
Adelaide,0,AU,1554264852,35,138.6,-34.93,80.01,4.7
Curuca,8,BR,1554264932,85,-61.06,-2.52,81.02,2.13
Tucurui,12,BR,1554264932,96,-49.67,-3.77,76.25,3.02
Kadaya,0,RU,1554264932,22,119.29,50.93,39.08,11.97
Pokaran,0,IN,1554264933,29,71.92,26.93,82.73,3.58
Namatanai,48,PG,1554264727,98,152.44,-3.66,83.36,9.95
Gull Lake,1,CA,1554260400,68,-108.48,50.1,26.6,9.17
Mayfield,75,GB,1554264920,93,-3.04,55.87,42.01,10.29
Lata,0,IN,1554264684,60,78.62,30.78,54.47,2.13
Abnub,0,EG,1554260400,58,31.15,27.27,53.6,6.93
Hirara,75,JP,1554260400,77,125.28,24.8,66.2,14.99
Batouri,32,CM,1554264934,96,14.36,4.44,66.08,3.02
Buala,76,SB,1554264935,99,159.59,-8.15,80.93,6.6
Hualmay,20,PE,1554264935,94,-77.61,-11.1,65.99,4.36
Murray Bridge,80,AU,1554264905,42,139.28,-35.12,80.01,6.38
San Javier,0,ES,1554264916,93,-0.83,37.81,55.99,4.7
Batagay,36,RU,1554264936,69,134.64,67.65,24.86,4.7
Batagay-Alyta,88,RU,1554264936,90,130.41,67.8,22.43,4.14
Ankang,68,CN,1554264936,59,108.99,32.73,54.38,2.57
Labuhan,80,ID,1554264937,81,115.51,-2.54,80.12,2.91
Mandalgovi,0,MN,1554264937,72,106.27,45.76,51.5,7.16
Waipawa,88,NZ,1554264739,65,176.59,-39.94,57.0,1.01
Amga,44,RU,1554264938,63,131.98,60.89,35.12,3.69
Grand-Santi,76,GF,1554264938,75,-54.38,4.27,78.5,4.59
Karratha,0,AU,1554264678,29,116.85,-20.74,96.77,5.48
Lichuan,92,CN,1554264938,93,108.94,30.3,47.45,2.91
Koslan,8,RU,1554264939,90,48.9,63.46,26.12,6.26
Vetlanda,36,SE,1554264690,64,15.09,57.43,41.0,8.05
Trat,20,TH,1554264870,88,102.51,12.25,91.99,5.82
Ocumare del Tuy,40,VE,1554264910,83,-66.78,10.11,73.4,4.7
Jasper,0,US,1554264789,93,-87.28,33.83,52.0,4.47
Miandrivazo,0,MG,1554264940,90,45.46,-19.53,65.54,2.35
Vytegra,0,RU,1554264940,76,36.45,61.01,16.76,5.26
Lompoc,90,US,1554264720,100,-120.46,34.64,57.2,3.36
Progreso,75,UY,1554264123,68,-56.22,-34.68,71.01,21.92
Buta,36,CD,1554264941,94,24.73,2.79,73.01,2.13
Kajaani,0,FI,1554261600,73,27.73,64.22,32.0,11.41
Sampit,32,ID,1554264941,98,112.95,-2.54,82.01,5.37
Seoul,1,KR,1554262800,24,126.98,37.57,55.4,8.05
Jamame,88,SO,1554264941,92,42.75,0.07,77.6,5.59
Clyde River,90,CA,1554260700,91,-68.59,70.47,3.2,36.91
Nelson Bay,20,AU,1554264134,53,152.14,-32.72,78.01,12.75
Pedasi,20,PA,1554264942,93,-80.03,7.53,75.8,7.38
Ewa Beach,20,US,1554264748,61,-158.01,21.32,78.8,10.29
Amahai,8,ID,1554264942,100,129.0,-3.31,83.9,10.85
Viru,0,EE,1554264615,68,26.74,57.74,35.01,6.93
Merauke,24,ID,1554264943,93,140.4,-8.49,85.79,6.71
Inhambane,92,MZ,1554264943,100,35.38,-23.87,72.38,7.94
Manay,88,PH,1554264943,85,126.54,7.21,79.76,11.41
Kathu,48,ZA,1554264057,62,23.05,-27.7,69.01,1.99
Castrillon,92,ES,1554264804,87,-6.79,43.4,44.6,8.05
Severo-Yeniseyskiy,80,RU,1554264944,65,93.04,60.37,28.28,11.41
Canton,90,US,1554264926,39,-81.38,40.8,46.4,9.17
Egvekinot,32,RU,1554264712,91,-179.17,66.32,25.31,3.69
Sorland,20,NO,1554259800,86,12.69,67.67,37.4,8.05
Lunsar,92,SL,1554264945,98,-12.54,8.69,72.02,4.59
Maniwaki,56,CA,1554264945,69,-75.98,46.38,37.28,8.16
Shamary,76,RU,1554264945,80,58.22,57.34,26.03,10.74
Riorges,90,FR,1554264925,93,4.03,46.04,51.01,2.24
Aleksandrovsk-Sakhalinskiy,20,RU,1554264946,81,142.16,50.9,30.17,8.72
Awbari,0,LY,1554264946,70,12.77,26.59,50.78,5.93
Gwadar,0,PK,1554264946,88,62.33,25.12,76.34,6.6
San Quintin,32,PH,1554264773,84,120.52,17.54,79.13,0.78
Bama,88,CN,1554264947,100,107.25,24.14,66.53,4.59
Aklavik,20,CA,1554260400,64,-135.01,68.22,-2.21,4.7
Porto Seguro,40,BR,1554264000,88,-39.06,-16.44,73.4,3.36
Kohima,32,IN,1554264947,88,94.1,25.66,62.12,1.9
Mandalay,40,MM,1554262200,29,96.08,21.98,89.6,5.82
Vaitape,8,PF,1554264948,97,-151.75,-16.52,85.25,11.63
Lianzhou,100,CN,1554264948,95,112.38,24.79,65.54,1.57
Udalguri,0,IN,1554264948,68,92.1,26.75,61.85,1.9
Pangnirtung,68,CA,1554264948,81,-65.72,66.15,2.63,3.24
Hobyo,48,SO,1554264949,89,48.53,5.35,79.49,8.28
Evensk,12,RU,1554264949,78,159.24,61.92,36.29,15.66
Trincomalee,0,LK,1554264949,75,81.23,8.58,83.09,4.92
Cao Bang,64,VN,1554264785,95,106.25,22.67,70.13,4.14
Severo-Kurilsk,88,RU,1554264949,90,156.12,50.68,33.68,13.2
Urla,0,TR,1554263400,66,26.77,38.32,53.6,16.11
Timbiras,92,BR,1554264950,98,-43.94,-4.26,73.1,2.13
Rapid Valley,1,US,1554264927,60,-103.15,44.06,42.8,6.26
Canico,20,PT,1554264897,72,-16.85,32.63,60.8,16.11
Herat,90,AF,1554260100,55,62.22,34.35,66.2,9.17
Harrisburg,20,US,1554264782,93,-76.89,40.27,43.0,2.91
Kaabong,0,UG,1554264951,84,34.14,3.51,59.51,3.13
Kattivakkam,40,IN,1554262424,70,80.32,13.22,87.8,9.17
Petropavlovsk-Kamchatskiy,75,RU,1554262200,83,158.65,53.05,39.2,6.71
Khorixas,32,NA,1554264952,72,14.96,-20.37,68.42,2.68
Mishan,8,CN,1554264952,34,131.88,45.55,48.44,11.86
Sobolevo,0,RU,1554264952,65,31.9,54.43,21.35,4.03
Masvingo,92,ZW,1554264952,93,30.83,-20.08,61.76,9.17
Walvis Bay,0,NA,1554264131,82,14.51,-22.95,59.0,3.36
Praia,0,BR,1554260400,82,-43.81,-20.25,68.0,4.7
Morros,40,BR,1554264000,94,-44.04,-2.87,77.0,5.82
Melfi,75,IT,1554263700,76,15.66,41.0,50.0,3.36
Altamira,44,BR,1554264954,90,-52.21,-3.2,78.05,4.25
Ambanja,20,MG,1554264954,93,48.45,-13.68,69.77,2.35
Emerald,75,AU,1554264473,48,148.16,-23.53,82.99,10.29
Buluang,20,PH,1554260400,48,123.98,10.47,86.0,11.41
Tefe,48,BR,1554264955,93,-64.71,-3.35,79.67,3.36
Samorin,0,SK,1554264800,65,17.31,48.03,50.0,9.17
Porto Torres,20,IT,1554264905,100,8.4,40.84,50.0,3.36
Christiansburg,1,US,1554264947,49,-80.41,37.13,46.4,5.82
